,Author,Date,Colour,Verification,Rating,Title,Desc
16,"['Gaurav bisht', [...]]","['2 December 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Iphone X - Better phone to buy in 2018 & 2019', [...]]","[['I was confused between Iphone X and Iphone XR but finally made decision to buy iphone X due to its best in class design and components. I have used Iphone 5s in past still it works like a charm. I bought this device during amazon sale at 62K and it is really value for money deal.', ""Its been 2 month didn't face any type of issues & moreover having - 120 Hz touch-sensing capability the screen is really buttery smooth. Go for Iphone X blindly as Iphone XS & XR are just copy of X with few advancements that doesn't make much difference.""]]"
17,"['Ron Mukherjee', [...]]","['25 October 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Received a phone with scratch on screen', [...]]",[['Never noticed but received the product with a very light scratch on screen.']]
18,"['Ashish Gupta ', [...]]","['12 October 2018', [...]]","['Colour: Silver', 'Size: 256GB', [...]]",[['Verified Purchase']],"['4.0 out of 5 stars', [...]]","['Awesome phone with small disappointments', [...]]","[['The phone is simply awesome- The display, the smoothness, the feel in the hand is so premium.', 'But what really annoys is lack of Fast charger and its cable is Cheap quality. Pricing is always an issue with apple. But the phone is really awesome. Accessories are on cheaper side quality wise.', 'Needs protection to the most as any breakage will cost you a huge amount.', ""One thing more- The packaging of the phone was pathetic. Didn't expect this from amazon. Cheap quality packing.""]]"
19,"['Amazon Customer', [...]]","['5 December 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Iohonx', [...]]","[[""It's bad  experience from Amazon ,after one month phone totally reboot and start after automatically and so.much heat problem facing ..customer service centre only reset phone only nothing to do ....this is Amazon ....really???""]]"
20,"['Jay Sangani', [...]]","['12 November 2018', [...]]","['Colour: Silver', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Thank you Amazon for the amazing deal', [...]]","[['Found the perfect deal during the Great Indian Festival. I thought the deal was too good to be true and was expecting a cancellation of order from the seller. But the day I received the order was epic. The phone is simply superb. Everything about the phone is perfect....hey what do expect from an Apple product. Good battery life, durable with screen protector and case and screen quality is excellent. Thank you Amazon']]"
21,"['Gaurav Gautam', [...]]","['9 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","[""Well it's Apple"", [...]]","[['This pjone is lit. I gifted it to my sister cause i am not huge on iOS but this one certainly impressed me. After just 20 minutes of exposure i learnt all the gestures and found myself doing them on my V20. Its expensive yes but it feels like it was meant for thos price tag.', 'Well done Apple.', ""PS I didn't like the front camera. Everything else is impressive.""]]"
22,"['Sushant S.', [...]]","['12 December 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['2.0 out of 5 stars', [...]]","['Genuine review by heart', [...]]","[[""The battery life was better than previous iphones but can't take the competition from other phone available in the market it gives you one day(15 hrs approx) backup with moderate usage, it catches scratch very easily specially on its metal rim, screen was awesome, sound is also superb, camera is not upto mark, too much heating issues after upgrading ios 12.1."", 'Not a value for money. Too much expensive.']]"
23,"['Amit Pratap Singh', [...]]","['4 November 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Good experience.', [...]]","[['I had an iphone 6s, i wanted to upgrade it so i thought to give it a try and i think it was a good idea. Screen is large and the notch. I love it.']]"
24,"['Amazon Customer', [...]]","['19 October 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Got at 68k', [...]]",[['Got at 68k']]
25,"['Milind Ahuja', [...]]","['27 November 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Worth the purchase', [...]]","[[""My first ever iphone and this much expensive purchase from Amazon and i was literally doubtful if i should purchase this online. Now its been almost 1 month that i am using this (thanks amazon for the wonderful delivery and the seller Appario retail pvt ltd for building the trust) and trust me its worth every penny. I got an authentic product with earphones, charger and a connector, you can check it as well on imei24 and official apple website. It feels so premium in hands and very handy as compared to other latest phones. Yes i agree its very expensive but its worth it. I was a android user till now and i wanted a change so i decided for iphone X and i think i will be an apple user for life now lol. It will take you some time to explore the features as it is much different from Android but it's fun. Face recognition works like a charm and overall it is really fast so 3GB works same like the 8 GB RAM on the other phones.. Camera take the real and natural pictures with beautiful colors without fake filters and all. It is much more secure than the android phones. Battery backup might not be the best but its not that bad as well."", 'Overall i would say its a great product and if you are bored from using andorid and need a change and also if you love luxury, Go for this.', ""First month went really good, let's see how will be experience in coming months, i might change my review accordingly then lol.""]]"
26,"['Syed', [...]]","['29 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Truly a phone which will leave an impression', [...]]","[['Apple has always been a coin with 2 sides, it has loyal followers who will swear by it and it has loyal critics who will feed of it. Now coming to the iPhone X. I will be speaking only about the phone and it’s features and not compare with other models.', 'Pros-', '- Its  truly a beautiful phone. The notch in the top is something I feel u will want to have once u start using it.', '- the build quality is amazing. It’s a premium phone from the get go. Once u open the box, it’s like opening a Pandora’s box, something truly befitting a flagship.(of course it’s an year old now)', '- the screen resolution is just crisp and jaw dropping. Unlike its predecessors, the screen is gorgeous. Colours are spot on, the True Tone display needs some time to get used to but later there’s no turning back to the normal mode. The colours, no matter the time of the day, sunlight , no light, moonlight, tube light or what ever, always great.', '-the camera is very good being a dual camera and all and the pictures are pretty good, although I am not a avid mobile photographer.', '-the size of the phone is just right. At least for me it seems a good fit. Although sometimes 2 hands are required for some tasks but overall one handed most of the time.', '- Face ID- this is where it gets tricky. The phone unlocks with Face ID or a passcode. Now I have tried this feature with a beard , dim lighting , night times and many possible scenarios, and I must say , it’s good. Although it’s takes a few milliseconds more in low lighting, but over all good. (PS NOTE- there is no finger print unlock !!!!!!!)', '- The phone is truly fast. Multitasking, heavy gaming, anything is like a walk in the park for the phone. It’s truly a beast with it processing speed. Doesn’t warm up even when doing multiple tasks or playing PUBG. You have to understand that apple uses its RAM in a different way, so 3gb RAM may seem little on paper but don’t let numbers fool you.', 'Cons-', '- battery life - now the battery life for the average usage is good but for gaming and heavy usage I feel is a bit disappointing. Could have been better, but hey, that’s what power banks are there for.', '- headphone jack- this is truly frustrating sometimes!!!! I mean come on!!!!! Who will manufacture Bose or sony  or beats headphones with a lighting cable!!!!!!!! U will have to carry the connector all the time or leave it attached to ur headphones all the time to avoid forgetting them in a hurry.', 'These are just a few points I have noticed after using the phone for sometime, will update if I feel anything is needed.']]"
27,"['Nikunj', [...]]","['3 November 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Great phone', [...]]","[['Actually I was too scared to buy such an expensive phone from online portal though i had trust over amazon but still after reading negative comments It scared me.', 'At the end Because of price difference I bought this through Amazon and overall experience was great', 'Firstly the extra secure steps bu amazon was impressive and also the delivery person just told me you can open the box and he will stay there and make a video', 'After opening the box I checked the serial number if I phone was pre activated however it was brand new with no pre activation', 'Though I had some issues while i', 'Updated to new software for which I had to go to apple care but the query was resolved in 15 min', 'Overall I am quite happy with phone performance and bought at damn cheap price than store']]"
28,"['Shivi Bhatia', [...]]","['30 December 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Worth Every Cent!! love it Apple😍😍', [...]]","[['iPhone X is like no other phone out there. Is a manifesto go-to phone for premiumness. Class apart in a nutshell.', 'The security of iPhone is amazing as always.', 'The camera is top notch and portrait mode is the best any camera offers.', 'There are so many inbuilt AR apps which take the game to the outer space. The battery life is quite good as well. With heavy use it’s been able to last more than 12-14 hours.', 'No heating issues.', 'Supports siri and amazon alexa as well out of the box.', 'Though it is a very slippery phone so first don’t forget to get a heavy phone cover.', 'Only if you use you will realise why this phone is expensive and as always nothing comes closer to apples interface.']]"
